Iterations,Seed 1,Seed 2,Algorithm
3000,0,0,FBT-ATEP
3500,3,3,FBT-ATEP
4000,5,6,FBT-ATEP
4500,7,8,FBT-ATEP
5000,11,11,FBT-ATEP
5500,14,13,FBT-ATEP
6000,17,16,FBT-ATEP
6500,19,19,FBT-ATEP
7000,24,22,FBT-ATEP
7500,27,25,FBT-ATEP
8000,31,28,FBT-ATEP
8500,34,32,FBT-ATEP
9000,38,35,FBT-ATEP
9500,42,38,FBT-ATEP
10000,45,42,FBT-ATEP
10500,49,45,FBT-ATEP
11000,52,48,FBT-ATEP
11500,55,51,FBT-ATEP
12000,59,54,FBT-ATEP
12500,60,57,FBT-ATEP
13000,63,61,FBT-ATEP
13500,65,63,FBT-ATEP
14000,67,64,FBT-ATEP
14500,69,67,FBT-ATEP
15000,72,69,FBT-ATEP
15500,74,72,FBT-ATEP
16000,77,75,FBT-ATEP
16500,81,76,FBT-ATEP
17000,83,77,FBT-ATEP
17500,87,80,FBT-ATEP
18000,91,83,FBT-ATEP
18500,91,85,FBT-ATEP
19000,93,88,FBT-ATEP
19500,97,91,FBT-ATEP
20000,101,92,FBT-ATEP
3000,0,0,SBT-ATEP
3500,2,2,SBT-ATEP
4000,4,5,SBT-ATEP
4500,7,7,SBT-ATEP
5000,10,10,SBT-ATEP
5500,13,13,SBT-ATEP
6000,16,15,SBT-ATEP
6500,19,18,SBT-ATEP
7000,23,22,SBT-ATEP
7500,27,26,SBT-ATEP
8000,30,29,SBT-ATEP
8500,34,33,SBT-ATEP
9000,37,36,SBT-ATEP
9500,40,39,SBT-ATEP
10000,44,41,SBT-ATEP
10500,47,44,SBT-ATEP
11000,49,47,SBT-ATEP
11500,52,50,SBT-ATEP
12000,55,53,SBT-ATEP
12500,59,56,SBT-ATEP
13000,61,60,SBT-ATEP
13500,64,62,SBT-ATEP
14000,68,65,SBT-ATEP
14500,71,68,SBT-ATEP
15000,74,70,SBT-ATEP
15500,77,73,SBT-ATEP
16000,80,76,SBT-ATEP
16500,84,80,SBT-ATEP
17000,88,83,SBT-ATEP
17500,90,87,SBT-ATEP
18000,92,90,SBT-ATEP
18500,96,93,SBT-ATEP
19000,99,96,SBT-ATEP
19500,102,98,SBT-ATEP
20000,106,101,SBT-ATEP
3000,0,0,EPOET40x40
3500,2,2,EPOET40x40
4000,4,4,EPOET40x40
4500,8,7,EPOET40x40
5000,11,11,EPOET40x40
5500,14,14,EPOET40x40
6000,17,17,EPOET40x40
6500,20,21,EPOET40x40
7000,23,24,EPOET40x40
7500,27,27,EPOET40x40
8000,30,30,EPOET40x40
8500,33,33,EPOET40x40
9000,37,36,EPOET40x40
9500,39,39,EPOET40x40
10000,43,42,EPOET40x40
10500,46,45,EPOET40x40
11000,49,48,EPOET40x40
11500,52,50,EPOET40x40
12000,56,53,EPOET40x40
12500,59,56,EPOET40x40
13000,61,59,EPOET40x40
13500,61,61,EPOET40x40
14000,63,62,EPOET40x40
14500,63,63,EPOET40x40
15000,65,65,EPOET40x40
15500,68,68,EPOET40x40
16000,70,70,EPOET40x40
16500,73,70,EPOET40x40
17000,75,72,EPOET40x40
17500,77,74,EPOET40x40
18000,81,76,EPOET40x40
18500,83,77,EPOET40x40
19000,87,79,EPOET40x40
19500,87,82,EPOET40x40
20000,90,83,EPOET40x40
3000,0,0,EPOET20x20
3500,0,0,EPOET20x20
4000,0,0,EPOET20x20
4500,0,0,EPOET20x20
5000,0,0,EPOET20x20
5500,0,0,EPOET20x20
6000,0,0,EPOET20x20
6500,2,0,EPOET20x20
7000,5,2,EPOET20x20
7500,7,4,EPOET20x20
8000,10,7,EPOET20x20
8500,13,8,EPOET20x20
9000,14,11,EPOET20x20
9500,17,14,EPOET20x20
10000,20,17,EPOET20x20
10500,24,20,EPOET20x20
11000,26,23,EPOET20x20
11500,26,26,EPOET20x20
12000,28,29,EPOET20x20
12500,31,32,EPOET20x20
13000,33,35,EPOET20x20
13500,33,36,EPOET20x20
14000,36,37,EPOET20x20
14500,39,38,EPOET20x20
15000,41,38,EPOET20x20
15500,44,38,EPOET20x20
16000,45,40,EPOET20x20
16500,45,42,EPOET20x20
17000,48,43,EPOET20x20
17500,51,43,EPOET20x20
18000,52,46,EPOET20x20
18500,53,49,EPOET20x20
19000,54,50,EPOET20x20
19500,57,53,EPOET20x20
20000,58,54,EPOET20x20
3000,0,0,RT-ATEP
3500,0,0,RT-ATEP
4000,1,0,RT-ATEP
4500,4,3,RT-ATEP
5000,7,6,RT-ATEP
5500,10,6,RT-ATEP
6000,12,7,RT-ATEP
6500,15,10,RT-ATEP
7000,15,11,RT-ATEP
7500,15,12,RT-ATEP
8000,18,14,RT-ATEP
8500,21,16,RT-ATEP
9000,21,19,RT-ATEP
9500,24,19,RT-ATEP
10000,26,22,RT-ATEP
11500,26,23,RT-ATEP
12000,26,25,RT-ATEP
12500,29,26,RT-ATEP
3000,0,0,NT-ATEP
3500,0,0,NT-ATEP
4000,0,0,NT-ATEP
4500,0,0,NT-ATEP
5000,0,0,NT-ATEP
5500,0,0,NT-ATEP
6000,0,0,NT-ATEP
6500,0,0,NT-ATEP
7000,1,0,NT-ATEP
7500,3,2,NT-ATEP
8000,3,4,NT-ATEP
8500,3,4,NT-ATEP
9000,5,4,NT-ATEP
9500,6,5,NT-ATEP
10000,8,6,NT-ATEP
11500,8,8,NT-ATEP
12000,9,9,NT-ATEP
12500,10,9,NT-ATEP